file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,1,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,5
static/style.css,2,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,24
static/style.css,3,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,15
static/style.css,4,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,31
static/style.css,5,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,40
static/style.css,6,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,7,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,8,css,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,3
static/style.css,9,css,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,23
static/style.css,10,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,11,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,12,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,44
static/style.css,13,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,14,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,4
static/style.css,15,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,43
static/style.css,16,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,42
static/style.css,17,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
static/style.css,18,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,23
static/style.css,19,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,49
static/style.css,20,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,92
static/style.css,21,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,41
static/style.css,22,css,769667ae,Luciano Sampaio,2025-03-20,12:27:40,-03:00,2025-03-20T12:27:40-03:00,0,0
